,Repaired Errors Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BugId,jGenProg,jKali,Nopol,jMutRepair,ACS,JAID,ssFix,CapGen,SketchFix,LSRepair,SimFix,kPAR,HDRepair,Tbar,Hercules,DLFix,Confix,ARJA,SequenceR,CoCoNut,CURE,sharpFix,DEAR,TRANSFER,Recoder,KNOD,AlphaRepair,SelfAPR,Repilot,Gamma,In-the-era-codex,T5APR,ChatGPT,CodeX,ChatRepair
Chart_1,F,F,F,T,F,T,F,T,T,T,T,T,T,T,T,T,T,F,T,T,T,F,T,F,T,T,T,T,T,T,T,T,/,/,/
Chart_3,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,/,/,/
Chart_6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Chart_9,F,F,F,F,F,T,F,F,T,F,F,F,F,T,T,T,F,F,T,T,T,F,T,T,T,T,T,T,T,T,F,T,/,/,/
Chart_11,F,F,F,F,F,T,F,T,T,T,F,F,F,T,T,T,T,F,T,T,T,F,T,T,T,T,T,T,F,T,T,T,/,/,/
Chart_12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,T,T,F,F,F,F,T,T,F,T,T,T,T,/,/,/
Chart_20,F,F,F,F,F,F,T,F,T,F,T,F,F,T,F,T,F,F,F,F,T,T,T,T,T,T,F,T,T,F,T,F,/,/,/
Chart_14A,F,F,F,F,F,F,F,F,F,F,F,T,F,T,T,F,F,F,F,T,T,F,F,F,F,T,T,F,F,T,F,T,/,/,/
Chart_17,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Chart_25A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Closure_38,F,F,F,T,F,F,F,F,F,F,F,T,F,T,F,F,T,F,F,T,T,F,F,F,F,T,T,T,T,T,F,T,/,/,/
Closure_52,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,F,/,/,/
Closure_57,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,T,T,T,F,T,T,/,/,/
Closure_62,F,F,F,F,F,T,F,F,T,F,T,T,T,T,T,T,F,F,F,F,T,F,T,T,T,T,T,T,T,T,T,T,/,/,/
Closure_65,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Closure_73,F,F,F,F,F,T,F,F,F,F,T,T,T,T,T,T,F,F,T,T,T,T,T,T,T,T,T,T,T,T,F,T,/,/,/
Closure_104,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,F,F,/,/,/
Closure_123,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,T,F,F,T,F,/,/,/
Lang_6,F,F,F,F,F,F,T,T,T,F,F,T,T,F,T,T,T,F,T,F,T,F,T,T,T,T,T,T,T,T,F,F,/,/,/
Lang_9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Lang_11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Lang_21,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,F,T,T,F,T,T,/,/,/
Lang_24,F,F,F,F,T,F,F,F,T,T,F,T,F,F,T,F,F,F,F,F,F,T,F,F,F,F,T,F,T,T,T,T,/,/,/
Lang_25,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
Lang_33,F,F,F,F,F,T,T,F,F,F,T,F,F,T,T,T,F,F,F,T,F,T,T,T,T,T,T,T,T,T,T,F,/,/,/
Lang_39,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,T,F,F,F,/,/,/
Lang_43,F,F,F,F,F,F,T,T,F,F,T,F,T,F,T,T,F,T,F,F,T,T,T,F,F,T,T,F,T,T,T,T,/,/,/
Lang_47A,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,F,F,F,F,F,T,T,F,F,F,F,F,T,F,F,/,/,/
Lang_54,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,/,/,/
Lang_58,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,T,F,T,F,F,/,/,/
Lang_59,F,F,F,F,F,T,T,T,T,F,F,T,T,T,T,T,F,F,T,T,T,F,T,T,T,T,T,T,T,T,F,T,/,/,/
Lang_61,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,T,F,F,F,T,F,/,/,/
Math_39,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,/,/,/
